Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
I Squared Capital,Independent,2,Equity,I Squared Capital infrastructure funds,Miami FL,New York NY,"~USD 22.9bn AUM (2025, secondary); USD 1bn platform commitment",USD 100m - USD 1bn,AI inference and edge colocation; liquid-cooled high-density assets,2026-05 launch of a US AI inference and edge colocation data center platform with USD 1bn commitment; seed assets with 53MW immediate power availability,1,2026-05,Very Active (12mo),Yes,Yes,"US AI inference and edge colocation platform, USD 1bn, May 2026",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20260525403366/en/I-Squared-Capital-Launches-U.S.-AI-Inference-and-Edge-Colocation-Data-Center-Platform-With-$1BN-Commitment,Miami-headquartered; explicitly an inference/edge thesis rather than hyperscale - a distinct strategy in the universe.
PGIM Real Estate,"PGIM, the asset management arm of Prudential Financial",2,Equity,PGIM Real Estate Global Data Center Fund (GDCF),Newark NJ,Unknown / Not verified,USD 2.0bn allocated to the strategy at final close (Apr 2025),Unknown / Not verified,Low-latency hyperscale; build-fill-sell opportunistic strategy,"Global Data Center Fund final close, USD 2.0bn, April 2025",1,2025-04,Very Active (12mo),Yes,Unknown / Not verified,"Global Data Center Fund, USD 2.0bn, final close April 2025",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.pgim.com/us/en/institutional/about/newsroom/press-releases/pgim-real-estate-raises-2b-final-close-global-data-center-fund,Insurance-affiliated manager with a first dedicated data center fund - a recently expanded team.
Digital Realty (fund management platform),Digital Realty Trust (NYSE: DLR) - REIT operating a third-party capital fund management business,2,Equity,US Hyperscale Data Center Fund,Austin TX,Dallas TX,~USD 1.7bn LP equity committed as of 22 Apr 2025; USD 2.5bn target,Unknown / Not verified,Stabilised US hyperscale assets in a co-investment fund structure,US Hyperscale Data Center Fund launched early 2025; DLR retains at least a 20% stake in fund assets,1,2025-04,Very Active (12mo),Yes,Unknown / Not verified,"US Hyperscale Data Center Fund, ~USD 1.7bn committed, 2025",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1297996/000155837025006125/dlr-20250331x10q.htm,"Included as an investment manager, not as an operator. The operator side of DLR is out of scope."
IFM Investors,Australian pension-owned manager with US infrastructure team,2,Equity,IFM Global Infrastructure Fund,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 11bn,US data center platform control equity,2022-05 Switch Inc. USD 11bn take-private (co-buyer with DigitalBridge),0,2022-05,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.datacenterknowledge.com/switches-routers/done-digitalbridge-and-ifm-take-switch-private-for-11b,Included per the brief's instruction to capture firms that were early and are now quieter in the public record.
NOVA Infrastructure,Independent,3,Equity,NOVA Infrastructure middle-market infrastructure funds,New York NY,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 250m,Edge and Tier 2/Tier 3 market colocation platforms; buy-and-build,"2025-05 DartPoints majority recapitalization, USD 250m total commitment (lead / majority buyer)",1,2025-05,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.novainfrastructure.com/nova-infrastructure-invests-in-dartpoints-to-accelerate-growth | https://www.prnewswire.com/news-releases/nova-infrastructure-invests-in-dartpoints-to-accelerate-growth-and-expand-strategic-infrastructure-302441849.html,Exactly the profile Category 3 is meant to catch - a middle-market infra fund taking control of a regional colocation platform.
Orion Infrastructure Capital (OIC),Independent,3,Multiple (Structured Equity + Credit),OIC structured infrastructure capital,New York NY,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 250m,Structured growth capital into edge and regional data center platforms,2025-05 DartPoints USD 250m capital investment (co-investor with NOVA Infrastructure),1,2025-05,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://commercialobserver.com/2025/05/data-center-operator-dartpoints-250m-capital-investment/ | https://www.prnewswire.com/news-releases/nova-infrastructure-invests-in-dartpoints-to-accelerate-growth-and-expand-strategic-infrastructure-302441849.html,Structured capital provider - sits between Categories 3 and 4.
Astra Capital Management,Independent,3,Equity,Astra Capital communications and technology infrastructure,Washington DC,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 200m,Edge colocation platform sponsorship (DartPoints); communications infrastructure,DartPoints - prior control sponsor; retained minority stake in the May 2025 NOVA Infrastructure recapitalization (seller / rollover),1,2025-05,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/nova-infrastructure-invests-in-dartpoints-to-accelerate-growth-and-expand-strategic-infrastructure-302441849.html | https://dallasinnovates.com/nyc-firm-snags-majority-stake-in-dallas-edge-data-center-provider-dartpoints-as-part-of-250m-commitment/,DC-based lower-middle-market specialist; would not appear on any 'top data center investors' list.
Oak Hill Capital,Independent,3,Equity,Oak Hill Capital digital infrastructure / broadband and data centers,New York NY,Stamford CT (verify),~USD 400m commitment to GTR,USD 100m - USD 500m,Data center developer platform equity,2026-01 Global Technical Realty ~USD 400m equity commitment (co-investor alongside KKR),1,2026-01,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://oakhill.com/2026/01/07/kkr-and-oak-hill-capital-commit-nearly-2-billion-to-leading-european-data-center-platform-global-technical-realty/,Long-standing broadband/digital infra franchise; the GTR ticket is the verified data center entry.
GI Partners,Independent,3,Equity,Data Infrastructure strategy,San Francisco CA,Unknown / Not verified,>USD 45bn raised since inception (firm site),USD 50m - USD 500m,Data centers; data transport; wireless access; tech-enabled infrastructure - 20-year track record,"2020-01 DRFortress majority interest (buyer); 2025-11 Digita (Finland) and IslandsTurnar (Iceland) acquired from DigitalBridge (buyer, per secondary)",1,2025-11,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.gipartners.com/data-infrastructure | https://www.gipartners.com/data-infrastructure/portfolio | https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,One of the longest-tenured middle-market data center investors in the US; consistently under-covered.
CIM Group,Independent,3,Multiple (Equity + Development),CIM Group infrastructure and real assets,Los Angeles CA,New York NY,USD 450m cumulative equity into Novva alone,USD 100m - USD 2bn,Ground-up development sponsorship of a Western US hyperscale/colocation platform (Novva),"2022-05 Novva Data Centers USD 355m growth equity, cumulative USD 450m (sponsor); 2025-03 USD 2.0bn financing for Novva Salt Lake City 175MW flagship (sponsor / borrower)",1,2025-03,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.cimgroup.com/press-releases/cim-group-and-novva-data-centers-announce-2-billion-in-new-financing-to-accelerate-growth-in-delivering-sustainable-efficient-data-centers-across-the-western-u-s | https://www.prnewswire.com/news-releases/novva-data-centers-receives-355m-growth-equity-investment-from-cim-group-to-aid-expansion-efforts-301558538.html,Real-estate-rooted sponsor that built a data center operator from scratch rather than buying one.
Argo Infrastructure Partners,Independent,3,Equity,Argo Infrastructure Partners,New York NY,Unknown / Not verified,>USD 6bn AUM across 18 companies and projects (secondary),USD 50m - USD 500m,Colocation platform ownership (TierPoint); long-duration digital infrastructure,TierPoint - portfolio company (control / significant stake),Unknown / Not verified,2025 (portfolio current),Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://giia.net/our-members/argo-infrastructure-partners/ | https://www.linkedin.com/company/argo-infrastructure-partners,TierPoint is a large multi-market US colocation platform; Argo is rarely named in sector coverage.
M/C Partners,Independent,3,Equity,M/C Partners communications and digital infrastructure,Boston MA,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 200m,Next-generation digital infrastructure; in-building wireless; regional data infrastructure,Connectivity Wireless - sponsor; USD 200m capital raise from First Citizens Bank and Post Road Group (Mar 2025),1,2025-03,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.businesswire.com/news/home/20250327475137/en/Connectivity-Wireless-Secures-$200-million-of-capital-from-First-Citizens-Bank-and-Post-Road-Group-to-Accelerate-Growth | https://ourfinancialsecurity.org/wp-content/uploads/2025/03/PE_Data-Centers.pdf,Adjacent communications infrastructure rather than pure data centers; flagged so it can be filtered.
Columbia Capital,Independent,3,Equity,Columbia Capital digital infrastructure and mobility,Alexandria VA,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 300m,Data center campus land assembly; wireless; broadband,"Acquisition of a 2,069-acre parcel in Arizona for data center campus development (secondary)",Unknown / Not verified,2025,Active (24mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.crunchbase.com/organization/columbia-capital | https://ourfinancialsecurity.org/wp-content/uploads/2025/03/PE_Data-Centers.pdf,"C-rated: land acquisition reported in a secondary aggregation, not confirmed against a primary release."
Madison International Realty,Independent,3,Equity,Madison International Realty (real estate secondaries and recapitalizations),New York NY,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 500m,Liquidity and recapitalization capital for data center platform owners,2021-12 Cologix USD 3bn recapitalization (investor),0,2021-12,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://cologix.com/news/madison-international-realty-invests-in-recapitalization-of-cologix/,Secondaries/recap angle - a distinct capital type most sector lists miss entirely.
Five Point Infrastructure,Formerly Five Point Energy; backer of LandBridge (NYSE: LB) and PowerBridge,3,Equity,Five Point Infrastructure,Houston TX,Unknown / Not verified,~USD 8bn AUM across funds (secondary); USD 1bn equity commitment to PowerBridge,USD 100m - USD 1bn,Gigawatt-scale powered land campuses; natural-gas-powered data center parks in West Texas and the Permian,"2025-05 PowerBridge formation with USD 1bn equity commitment (sponsor); LandBridge / PowerBridge Alpha Digital Campus, up to ~3,400 acres in Reeves County TX for 2GW (Apr 2026, sponsor of both parties)",2,2026-04,Very Active (12mo),Yes,Yes,"PowerBridge platform, USD 1bn equity commitment, May 2025",PowerBridge launched 2025,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20250515364198/en/Five-Point-Infrastructure-Announces-the-Formation-of-PowerBridge-With-a-$1-Billion-Equity-Commitment-to-Develop-and-Build-Gigawatt-Scale-Powered-Data-Center-Campuses-in-North-America | https://www.businesswire.com/news/home/20260402043900/en/LandBridge-Announces-Agreement-with-PowerBridge-for-the-Development-of-a-2-GW-Powered-Data-Center-Campus,Sits across Categories 3 and 8. An energy PE firm that converted surface land into a data center thesis.
RedBird Capital Partners,Independent,3,Equity,RedBird Capital Partners,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 5.5bn,Hyperscale data center platform sponsorship (Compass Datacenters),2023 Compass Datacenters ~USD 5.5bn sale to Brookfield Infrastructure and Ontario Teachers' (seller / prior sponsor),0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://dgtlinfra.com/top-data-center-companies/,Prior control sponsor of a top-tier US hyperscale developer; still a relevant relationship even though currently exited.
ICONIQ Capital,Co-owner of IPI Partners prior to the Blue Owl transaction; ongoing partnership with Blue Owl,3,Equity,ICONIQ infrastructure / IPI relationship,San Francisco CA,New York NY,Unknown / Not verified,USD 100m - USD 1bn,Hyperscale data center platform equity via the IPI franchise,"Blue Owl acquisition of the IPI Partners business (2024 announced, closed Jan 2025) - seller side and continuing partner",1,2025-01,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.blueowl.com/news/blue-owl-capital-acquire-ipi-partners-and-partner-iconiq-future-growth,Family-office-rooted manager with a direct line into one of the largest data center franchises.
Starwood Capital Group,Affiliate of Starwood Property Trust (NYSE: STWD),3,Equity,Starwood Capital real estate / data center development,Miami Beach FL,Greenwich CT,Unknown / Not verified,USD 50m - USD 500m,Conversion and ground-up data center development in Northern Virginia,Herndon VA 8-acre campus conversion into two data center facilities (Dec 2025),1,2025-12,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://commercialobserver.com/2025/12/starwood-data-center-washington-commanders/,"Distinct from Starwood Property Trust, which is the lending vehicle - see Category 4."
Tract Capital,Powered land developer / investor,3,Equity,Tract,Denver CO,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 5bn,Master-planned powered land campuses; capital markets issuance against land and power,2025 Fleet Data Centers USD 4.6bn secured notes offering (issuer side / sponsor),1,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.milbank.com/en/news/milbank-advises-tract-capital-on-landmark-dollar46b-fleet-data-centers-notes-offering.html,Included as a capital-markets counterparty; primarily a developer. Filter out if only fund managers are wanted.
Related Companies (Related Digital),Related Companies,3,Equity,Related Digital / data center business,New York NY,Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 16bn,Hyperscale campus development financed in the 144A market,"Related / Oracle ~USD 16bn data center financing (2025, sponsor); named among 144A data center issuers since November",1,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.bisnow.com/national/news/data-center-capital-markets/despite-skepticism-related-oracle-land-16b-data-center-financing-133963 | https://www.bisnow.com/national/news/data-center-development/a-quiet-corner-of-private-credit-has-fueled-60b-in-data-center-development-134982,A real estate developer that became one of the largest single data center borrowers in the market.
Blue Owl Capital (credit and financing),Blue Owl Capital Inc.; distinct from the Blue Owl Digital Infrastructure equity strategy,4,Debt,Blue Owl credit; Blue Owl Real Estate net lease; Blue Owl Digital Infrastructure Trust,New York NY,Unknown / Not verified,>USD 50bn of financing provided in 2025 (secondary),USD 500m - USD 30bn,Investment-grade private placements against hyperscale campuses; JV equity plus debt packages,2025-10 Meta Hyperion ~USD 30bn JV and financing (80% JV owner / capital provider); 2025 STACK Infrastructure New Mexico AI campus (lead capital); 2025 QIA partnership USD 3bn digital infrastructure platform,3,2025-12,Very Active (12mo),Yes,Yes,Blue Owl Digital Infrastructure Trust first close USD 1.7bn (Dec 2025); QIA partnership USD 3bn (Sep 2025),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/meta-announces-joint-venture-with-funds-managed-by-blue-owl-capital-to-develop-hyperion-data-center-302590584.html | https://www.bisnow.com/national/news/data-center-development/a-quiet-corner-of-private-credit-has-fueled-60b-in-data-center-development-134982 | https://tools.prnewswire.com/en-us/live/20813/release/20250925EN81646,The single most important private-capital counterparty in the 2025 data center financing market by size.
PIMCO,Allianz SE,4,Debt,PIMCO private credit / asset-backed and infrastructure debt,Newport Beach CA,New York NY,Unknown / Not verified,USD 1bn - USD 27bn,Investment-grade private placement bonds secured on hyperscale data center campuses,2025-10 Meta Hyperion USD 27bn+ IG notes due 2049 (lead bond investor / issuance partner),1,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/meta-taps-pimco-and-blue-owl-for-29bn-data-center-financing-report/ | https://www.bisnow.com/national/news/data-center-development/a-quiet-corner-of-private-credit-has-fueled-60b-in-data-center-development-134982,Largest single private data center bond placement on record.
Magnetar Capital,Independent,4,Debt,Magnetar structured credit / technology and AI infrastructure,Evanston IL,New York NY,Unknown / Not verified,USD 500m - USD 7.5bn,GPU-collateralized lending to AI cloud providers,2023-08 CoreWeave USD 2.3bn facility (co-lead); 2024-05 CoreWeave USD 7.5bn facility (co-lead investor),1,2024-05,Active (24mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.coreweave.com/news/coreweave-secures-2-3-billion-debt-financing-facility-led-by-magnetar-capital-and-blackstone-to-meet-surging-demand-and-ongoing-expansion-of-specialized-cloud-infrastructure-to-power-ai | https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,Effectively created the GPU-backed lending market alongside Blackstone.
Coatue Management,Independent,4,Multiple (Credit + Equity),Coatue structured credit and growth,New York NY,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,AI cloud and GPU infrastructure financing,2023-08 CoreWeave USD 2.3bn facility (participant); 2024-05 CoreWeave USD 7.5bn facility (strategic participant),1,2024-05,Active (24mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,Crossover manager operating in both AI infrastructure equity and structured credit.
Eldridge Industries,Independent,4,Debt,Eldridge credit,Greenwich CT,New York NY,Unknown / Not verified,USD 50m - USD 500m,Participation in large AI cloud credit facilities,2024-05 CoreWeave USD 7.5bn facility (participant),1,2024-05,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,Holding-company style credit investor; rarely surfaces in data center coverage.
Great Elm Capital Corp,Great Elm Group (NASDAQ: GEG),4,Debt,Great Elm Capital Corp (BDC),Palm Beach Gardens FL,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 50m,Small participations in AI cloud credit facilities,2024-05 CoreWeave USD 7.5bn facility (participant),1,2024-05,Active (24mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,A genuinely small BDC that appears on a landmark facility - the kind of name only a transaction-first method finds.
Starwood Property Trust,Externally managed by Starwood Capital Group (NYSE: STWD),4,Debt,Starwood Property Trust commercial and infrastructure lending,Greenwich CT,Miami Beach FL,Unknown / Not verified,USD 100m - USD 2bn,Large construction lending against hyperscale data center development,2025-03 Novva Salt Lake City USD 2.0bn financing (co-lender with J.P. Morgan),1,2025-03,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.cimgroup.com/press-releases/cim-group-and-novva-data-centers-announce-2-billion-in-new-financing-to-accelerate-growth-in-delivering-sustainable-efficient-data-centers-across-the-western-u-s | https://seekingalpha.com/news/4416822-jpmorgan-chase-starwood-property-lend-2b-for-ai-data-center-report,A mortgage REIT operating at bank scale in data center construction debt.
CDPQ,Caisse de depot et placement du Quebec; also appears in Category 7,4,Multiple (Credit + Equity),CDPQ credit and infrastructure,New York NY,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 500m,Participation in AI cloud credit facilities,2024-05 CoreWeave USD 7.5bn facility (participant),1,2024-05,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/coreweave-secures-7-5-billion-debt-financing-facility-led-by-blackstone-and-magnetar-302148876.html,Listed once in Category 4 for the credit ticket; the institution also invests as an LP and direct equity investor.
Apollo Global Management (credit / asset-backed),Apollo; see also Category 2,4,Debt,Apollo asset-backed finance and capital solutions,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 35bn,Lending against AI chips and compute; acquisition of operating data center platforms,"Apollo and Blackstone reported lending ~USD 35bn against AI chips and computing power; 2025 acquisition of Stream Data Centers from Stream Realty (buyer, per secondary); 2025 acquisition of European colocation assets from STACK (buyer, per secondary)",2,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://finance.yahoo.com/sectors/technology/articles/apollo-blackstone-lend-35b-against-ai-chips-220610560.html | https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,The Stream Data Centers acquisition should be confirmed against a primary release before outreach.
Fortress Investment Group,Majority owned by Mubadala Capital,4,Multiple (Credit + Real Assets),Fortress power generation and credit funds,New York NY,Dallas TX,Unknown / Not verified,USD 100m - USD 1bn,Ownership of mobile gas turbine fleets deployed behind the meter for AI hyperscalers,Gas turbines deployed by New APR Energy for a US AI hyperscaler are part of a power generation portfolio owned by Fortress-managed funds (100MW deployment),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.barchart.com/story/news/31097330/new-apr-energy-deploys-100mw-of-mobile-gas-turbines-for-u-s-based-ai-hyperscaler,Straddles Categories 4 and 8 - credit manager that owns physical power assets serving compute.
Oaktree Capital Management,Brookfield-affiliated,4,Multiple (Credit + Equity),Oaktree opportunities and infrastructure,Los Angeles CA,New York NY,Unknown / Not verified,USD 100m - USD 1bn,Data center platform ownership and divestment (Pure),"Reported divestment of a partial stake in data center operator Pure (2025-26, secondary)",1,2026,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,"C-rated: single secondary source describing a process, not a completed transaction."
Elliott Investment Management,Independent,4,Multiple (Credit + Equity),Elliott private equity / special situations,West Palm Beach FL,New York NY,Unknown / Not verified,USD 100m - USD 1bn,Data center platform ownership and divestment (Ark),"Reported divestment of a partial stake in data center operator Ark (2025-26, secondary)",1,2026,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,C-rated for the same reason as Oaktree; include with the flag.
Bain Capital,Independent,4,Multiple (Equity + Credit),Bain Capital private equity and special situations,Boston MA,New York NY,Unknown / Not verified,USD 100m - USD 4bn,Asian hyperscale platform ownership (Chindata); Bridge DC,2025 Chindata ~USD 4bn sale to a Shenzhen Dongyangguang Industry consortium (seller; original 2019 investor); Bridge DC - reported search for partners,1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,"US manager, non-US assets. Included per the geography rule because the deal team is US-based; verify before treating as a US counterparty."
Goldman Sachs Asset Management,Goldman Sachs Group,4,Equity,Goldman Sachs Alternatives / private equity,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 9.5bn,Data center supply chain (thermal management) rather than facilities,2025 Boyd Thermal USD 9.5bn sale to Eaton (seller),1,2025,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.sdxcentral.com/news/data-center-ma-deals-surpassed-73-billion-in-2024-setting-new-records/ | https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,Supply chain exposure. Distinct from Goldman Sachs the bank - see Categories 5 and 6.
SMBC,Sumitomo Mitsui Banking Corporation,5,Debt,SMBC Americas data center project finance,New York NY,Unknown / Not verified,~USD 25bn of hyperscaler data center financing structured and led 2022-2024,USD 300m - USD 5bn,Hyperscale data center project finance; rated construction loans,2025-02 Applied Digital Ellendale HPC campus USD 375m (sole lender); ranked No.1 US digital infrastructure loans bookrunner for 2025 by TMT Finance; first data center construction loan taken through the rating agency process in Jan 2025,2,2026-02,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.globenewswire.com/news-release/2025/02/12/3024998/0/en/Applied-Digital-Closes-375-Million-Financing-with-SMBC-to-Support-Ellendale-HPC-Campus.html | https://www.smbcgroup.com/americas/News/SMBC-Tops-US-Loans-League-Tables-as-Leader-in-TMT-Finance-Rankings | https://www.smbcgroup.com/americas/News/SMBC-Americas-Data-Center-Project-Finance-Featured-in-The-Tech-Capital,The single most recurring project finance bank in the dataset; ranked No.1 in the inaugural TMT Finance US league table.
MUFG,Mitsubishi UFJ Financial Group,5,Debt,MUFG project finance / data center finance,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 23bn,Coordinating lead arranger and administrative agent on hyperscale construction and platform debt,"EdgeCore Digital Infrastructure USD 1.9bn (CLA, joint bookrunner, admin agent); DataBank Red Oak USD 2.0bn construction loan (lead, admin agent); Vantage New Albany OH USD 5bn incremental green loans (co-lead with Societe Generale); Vantage Frontier USD 22bn+ loan (co-lead with J.P. Morgan)",4,2026-04,Very Active (12mo),Yes,Yes,Unknown / Not verified,Announced hiring of bankers dedicated to data center financing (Feb 2026),Unknown / Not verified,Unknown / Not verified,A,https://www.mufgamericas.com/who-we-are/news/mufg-serves-coordinating-lead-arranger-joint-bookrunner-administrative-agent-edgecore-digital-infrastructure-19-billion-debt-financing | https://www.databank.com/resources/press-releases/databank-secures-2-0b-of-construction-financing-for-first-three-data-centers-on-new-south-dallas-campus/ | https://vantage-dc.com/news/vantage-data-centers-secures-5b-in-incremental-green-loan-financings-to-support-demand-for-north-america-platform/ | https://www.japantimes.co.jp/business/2026/02/06/companies/mitsubishi-ufj-data-center-finance/,Top-three in the TMT Finance 2025 US loans league tables and actively hiring - a high-probability expanding team.
J.P. Morgan,JPMorgan Chase & Co.,5,Multiple (Debt + Advisory),"Digital Infrastructure Investment Banking; Commercial Banking media, communications and digital infrastructure",New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 23bn,Mega construction loans; syndication and underwriting for AI infrastructure,2025-03 Novva Salt Lake City USD 2.0bn (co-lender with Starwood Property Trust); 2025-08 Vantage Frontier USD 22bn+ loan (co-lead with MUFG),2,2025-08,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,"Global Head of Digital Infrastructure Investment Banking; Head of Media, Communications and Digital Infrastructure (Commercial Banking)",Unknown / Not verified,A,https://www.cimgroup.com/press-releases/cim-group-and-novva-data-centers-announce-2-billion-in-new-financing-to-accelerate-growth-in-delivering-sustainable-efficient-data-centers-across-the-western-u-s | https://www.bloomberg.com/news/articles/2025-08-20/jpmorgan-mufg-to-lead-22-billion-loan-for-vantage-data-centers | https://www.jpmorgan.com/insights/banking/capital-markets/financing-ai-infrastructure-data-centers,Named as a top-three US digital infrastructure loans bank by TMT Finance for 2025.
